################### A_general_scalapack ###################
#node Total SEP Reducer pdormtr pdstedc pdsytrd pdpotrf pdsygst rest
16 7469.64732385 3767.8638339 3391.94262886 444.809670925 666.125477076 2656.9286859 522.439203978 2869.50342488 309.840861082
32 3865.22862911 2064.68003201 1602.97085214 213.227213144 344.988912821 1506.46390605 63.2274680138 1539.74338412 197.577744961
64 4549.50289416 1803.7861619 2633.57326698 78.4507100582 269.487841845 1455.84761 263.719449997 2369.85381699 112.143465281
128 3281.94669795 1213.28740311 1964.50562286 41.5238831043 153.805119991 1017.95840001 45.8275549412 1918.67806792 104.15367198
256 2421.75214791 977.298483133 1371.90283608 29.0202460289 130.702075005 817.5761621 137.661642075 1234.24119401 72.5508286953
512 2493.01694202 728.513997078 1717.35764289 16.9376971722 89.6062028408 621.970097065 27.0570280552 1690.30061483 47.1453020573
1024 2851.01318693 598.576564074 2211.7639451 18.2351369858 84.0052249432 496.336202145 73.5178601742 2138.24608493 40.6726777554
2048 2913.66859508 484.640695095 2399.42262816 10.7739751339 67.1943659782 406.672353983 16.3785090446 2383.04411912 29.6052718163
